offer,date_time,conversion_ip,source,sub_id_1,sub_id_2,sub_id_3,sub_id_4,sub_id_5,payout,status
1346 API_USD,2016-05-09 16:41:14,198.232.218.254,,,,,,wwcn-6020,1.8,approved
1346 API_USD,2016-05-09 16:38:31,198.232.218.254,,,,,,wwcn-141220,1.8,approved
1346 API_USD,2016-05-09 16:37:06,198.232.218.254,,,,,,wwcn-401085,1.8,approved
1346 API_USD,2016-05-09 16:35:16,198.232.218.254,,,,,,wwcn-23156,1.8,approved
1346 API_USD,2016-05-09 16:28:53,198.232.218.254,,,,,,wwcn-38511,1.8,approved
1346 API_USD,2016-05-09 16:25:21,198.232.218.254,,,,,,wwcn-6680,1.8,approved
1346 API_USD,2016-05-09 16:22:03,198.232.218.254,,,,,,wwcn-6020,1.8,approved
1346 API_USD,2016-05-09 16:21:25,198.232.218.254,,,,,,wwcn-4392,1.8,approved
1346 API_USD,2016-05-09 16:18:32,198.232.218.254,,,,,,wwcn-359307,1.8,approved
1346 API_USD,2016-05-09 16:14:29,198.232.218.254,,,,,,wwcn-34098,1.8,approved
1346 API_USD,2016-05-09 16:14:12,198.232.218.254,,,,,,wwcn-4649,1.8,approved
1346 API_USD,2016-05-09 16:12:00,198.232.218.254,,,,,,wwcn-404749,1.8,approved
1346 API_USD,2016-05-09 16:08:16,198.232.218.254,,,,,,wwcn-22244,1.8,approved
1346 API_USD,2016-05-09 16:04:52,198.232.218.254,,,,,,wwcn-146949,1.8,approved
1346 API_USD,2016-05-09 16:03:54,198.232.218.254,,,,,,wwcn-78863,1.8,approved
1346 API_USD,2016-05-09 15:57:38,198.232.218.254,,,,,,wwcn-4809,1.8,approved
1346 API_USD,2016-05-09 15:56:16,198.232.218.254,,,,,,wwcn-6020,1.8,approved
1346 API_USD,2016-05-09 15:54:59,198.232.218.254,,,,,,wwcn-359307,1.8,approved
1346 API_USD,2016-05-09 15:51:26,198.232.218.254,,,,,,wwcn-277292,1.8,approved
1346 API_USD,2016-05-09 15:49:45,198.232.218.254,,,,,,wwcn-416168,1.8,approved
1346 API_USD,2016-05-09 15:41:26,198.232.218.254,,,,,,wwcn-3393,1.8,approved
1346 API_USD,2016-05-09 15:37:55,198.232.218.254,,,,,,wwcn-406203,1.8,approved
1346 API_USD,2016-05-09 15:34:55,198.232.218.254,,,,,,wwcn-393659,1.8,approved
1346 API_USD,2016-05-09 15:34:09,198.232.218.254,,,,,,wwcn-38388,1.8,approved
1346 API_USD,2016-05-09 15:30:57,198.232.218.254,,,,,,wwcn-20288,1.8,approved
1346 API_USD,2016-05-09 15:29:41,198.232.218.254,,,,,,wwcn-359307,1.8,approved
1346 API_USD,2016-05-09 15:16:32,198.232.218.254,,,,,,wwcn-287439,1.8,approved
1346 API_USD,2016-05-09 15:14:05,198.232.218.254,,,,,,wwcn-406203,1.8,approved
1346 API_USD,2016-05-09 15:09:14,198.232.218.254,,,,,,wwcn-12906,1.8,approved
1346 API_USD,2016-05-09 15:07:02,198.232.218.254,,,,,,wwcn-4207,1.8,approved
1346 API_USD,2016-05-09 15:06:02,198.232.218.254,,,,,,wwcn-385969,1.8,approved
1346 API_USD,2016-05-09 15:00:23,198.232.218.254,,,,,,wwcn-4269,1.8,approved
