1048760,100
1051090,5000
1051740,200
1055970,2100
1058690,700
1062470,500
1066080,1300
1071730,400
1072730,100
1073170,2200
1077210,100
1085660,100
1085680,600
1094400,2100
1098850,100
1110140,400
1119030,200
1120450,100
1137320,300
1146700,6200
1180920,100
1189950,700
1192520,600
1234660,400
1236620,100
1048871,1300
1055761,100
1058581,1800
1059981,1000
1060391,100
1061071,5000
1083671,100
1089451,4900
1090721,3000
1094841,500
1105771,200
1107071,500
1114031,100
1115401,100
1121111,3200
1123381,400
1132231,1700
1140281,100
1147041,1900
1149581,100
1171551,600
1192301,100
1195711,100
1207221,500
1210311,300
1052042,100
1053802,100
1054782,100
1054782,100
1056802,600
1062932,100
1075642,100
1076392,400
1078872,800
1097402,500
1102432,500
1110362,500
1127452,1200
1128032,400
1132762,3000
1143262,2100
1145652,1500
1160572,500
1171522,5100
1200132,500
1234572,100
1235122,600
1237612,100
1237982,100
1238182,100
1054143,600
1054393,400
1055593,500
1062753,1400
1062863,100
1063893,400
1068483,100
1070183,700
1071313,2100
1073563,900
1076093,100
1079093,4100
1084143,100
1088023,3200
1091293,1000
1091673,100
1092643,2700
1096633,400
1112023,200
1119153,900
1128013,500
1130753,100
1131723,100
1132113,500
1139083,1900
1155453,500
1224563,100
1054164,1000
1058244,100
1058384,1200
1061194,200
1066614,1200
1083804,100
1083804,100
1092704,3000
1095224,100
1095974,100
1099304,500
1099854,200
1121844,100
1123494,1000
1128384,1800
1131204,100
1152124,600
1164024,200
1173664,800
1175374,1200
1229264,100
1229994,100
1056715,1500
1064955,3300
1072665,300
1079645,300
1098055,500
1100805,100
1112945,100
1115945,300
1118635,100
1126235,700
1133195,1700
1177145,2000
1190365,1400
1204565,1200
1220035,100
1222695,100
1223985,100
1225075,100
1236075,100
1055306,100
1057556,1500
1065896,3000
1067886,100
1074546,1100
1075906,1100
1081836,500
1085526,600
1092546,1400
1096596,500
1108186,700
1108426,100
1131136,3000
1152116,500
1172216,2600
1177016,100
1190306,700
1191226,100
1221866,200
1048757,1000
1050097,500
1051637,1000
1058217,800
1065267,100
1065307,1600
1066167,100
1077847,400
1079217,1400
1082927,300
1085147,2600
1092847,2000
1095647,500
1095697,100
1099407,400
1110877,3500
1128857,100
1153197,800
1155577,800
1185577,100
1190897,500
1220927,1000
1224987,1200
1234747,100
1238007,100
1055578,100
1055878,100
1057548,200
1059228,3000
1062738,100
1077138,2000
1079668,100
1084008,500
1084968,700
1090958,500
1093038,100
1101628,100
1106988,100
1110468,1200
1113378,100
1115848,100
1198928,100
1234818,100
1238868,200
1048739,5000
1050829,15100
1050879,100
1058269,400
1062919,300
1063109,2500
1064399,100
1064589,600
1071599,100
1075849,2000
1079769,100
1089699,100
1093859,200
1096559,400
1107799,2200
1110509,2200
1125389,300
1135179,1300
1135349,100
1155559,100
1183039,600
1232199,100
1237329,400
