"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"254","京东CPS","732204","购物客91jili","2014-06-01 11:00:51","1479102614'","3","","1","49.80000","2014-07-28 13:54:36","1","49.80000","有效","正常","1.19520","1.19520","1064710","否"
"247","当当CPS","732204","购物客91jili","2014-06-01 14:40:06","8561290589'","母婴用品","","1","185.00000","2014-10-15 17:37:00","0","0.00000","无效","正常","0.00000","0.0000","1061536","否"
"247","当当CPS","732204","购物客91jili","2014-06-01 14:40:06","8561290589'","特例品","","1","185.00000","2014-08-21 17:59:47","1","185.00000","有效","正常","0.92500","0.92500","1061536","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 14:51:40","1479729979'","0","","1","79.90000","2014-11-24 15:45:14","0","0.00000","无效","正常","0.00000","0.0000","1063136","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 14:51:40","1479729987'","0","","1","39.90000","2014-11-24 15:45:14","0","0.00000","无效","正常","0.00000","0.0000","1063136","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 14:51:40","1479728918'","0","","1","15.00000","2014-11-24 15:45:14","0","0.00000","无效","正常","0.00000","0.0000","1063136","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 14:51:40","1479728910'","0","","1","25.00000","2014-11-24 15:45:14","0","0.00000","无效","正常","0.00000","0.0000","1063136","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 18:46:45","1480491486'","3","","1","209.00000","2014-11-24 15:45:14","0","0.00000","无效","正常","5.01600","0.0000","1053682","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 18:46:45","1480559393'","3","","1","48.10000","2014-07-28 13:12:54","1","25.00000","有效","正常","1.15440","0.60000","1053682","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 18:46:45","1480559389'","3","","1","160.90000","2014-07-28 13:12:54","1","82.75000","有效","正常","3.86160","1.98600","1053682","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 19:24:55","1480611128'","0","","1","169.00000","2014-11-24 15:45:14","0","0.00000","无效","正常","3.00000","0.0000","105","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 19:24:55","1480610397'","0","","1","3190.00000","2014-11-24 15:45:14","0","0.00000","无效","正常","11.40000","0.0000","105","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 19:24:55","1480610393'","0","","1","3359.00000","2014-11-24 15:45:14","0","0.00000","无效","正常","11.40000","0.0000","105","否"
"254","京东CPS","732204","购物客91jili","2014-06-01 19:56:19","1480702838'","0","","1","299.00000","2014-07-27 22:19:27","1","299.00000","有效","正常","3.00000","3.00000","1135234","否"
