"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"4459","苏宁易购CPS","732204","购物客91jili","2015-02-01 07:40:34","7013172926'","基本","7071638770","1","1499.00000","2015-04-03 09:45:30","1","1499.00000","有效","正常","11.00000","11.00000","1279033","否"
"254","京东CPS","732204","购物客91jili","2015-02-01 12:20:38","8306194649'","0","","1","228.20000","","0","0.00000","未确认","正常","3.00000","0.0000","1096369","否"
"254","京东CPS","732204","购物客91jili","2015-02-01 12:20:38","8324992224'","0","","1","79.80000","","0","0.00000","未确认","正常","0.00000","0.0000","1096369","否"
"254","京东CPS","732204","购物客91jili","2015-02-01 12:20:38","8324987848'","0","","1","138.20000","","0","0.00000","未确认","正常","0.00000","0.0000","1096369","否"
"254","京东CPS","732204","购物客91jili","2015-02-01 12:20:38","8323924526'","0","","1","90.00000","","0","0.00000","未确认","正常","0.00000","0.0000","1096369","否"
"254","京东CPS","732204","购物客91jili","2015-02-01 12:20:38","8323868635'","0","","1","10.20000","","0","0.00000","未确认","正常","0.00000","0.0000","1096369","否"
"254","京东CPS","732204","购物客91jili","2015-02-01 12:25:29","8305310038'","18","","1","199.00000","2015-03-27 14:01:09","1","199.00000","有效","正常","3.58200","3.58200","1070224","否"
"254","京东CPS","732204","购物客91jili","2015-02-01 12:43:36","8306558980'","0","","1","138.00000","","0","0.00000","未确认","正常","0.00000","0.0000","1070224","否"
"254","京东CPS","732204","购物客91jili","2015-02-01 14:04:57","8306266547'","0","","1","129.00000","","0","0.00000","未确认","正常","0.00000","0.0000","1056946","否"
"247","当当CPS","732204","购物客91jili","2015-02-01 16:52:39","11740472649'","出版物","","1","204.00000","","0","0.00000","未确认","正常","4.08000","0.0000","1050816","否"
"247","当当CPS","732204","购物客91jili","2015-02-01 17:36:36","11740792429'","童书--$--金卡会员","","1","63.40000","","0","0.00000","未确认","正常","1.26800","0.0000","1065025","否"
"7036","同程网CPS","732204","购物客91jili","2015-02-01 21:27:14","st54cu2999210037d405'","3","717","1","115.00000","","0","0.00000","未确认","正常","1.61000","0.0000","1060988","否"
"247","当当CPS","732204","购物客91jili","2015-02-01 21:29:33","11742709369'","童书--$--金卡会员","","1","163.20000","","0","0.00000","未确认","正常","3.26400","0.0000","1065025","否"
"247","当当CPS","732204","购物客91jili","2015-02-01 23:22:02","11743831862'","虚拟商品--$--金卡会员","","1","2.98000","","0","0.00000","未确认","正常","0.01490","0.0000","1096993","否"
"6951","1号商城CPS","732204","购物客91jili","2015-02-02 10:00:56","2547141080075'","基本","15220547","1","9.54000","2015-04-14 11:10:31","1","9.54000","有效","正常","0.20030","0.20030","1051021","否"
"6951","1号商城CPS","732204","购物客91jili","2015-02-02 10:00:56","2547141080075'","基本","31060695","1","84.90000","2015-04-14 11:10:31","1","84.90000","有效","正常","0.89140","0.89140","1051021","否"
"6951","1号商城CPS","732204","购物客91jili","2015-02-02 10:00:56","2547141080075'","基本","15220551","1","9.54000","2015-04-14 11:10:31","1","9.54000","有效","正常","0.20030","0.20030","1051021","否"
"139","1号店CPS","732204","购物客91jili","2015-02-02 10:04:46","2547324403447'","基本","5762496","1","59.90000","2015-04-14 11:34:35","1","59.90000","有效","正常","0.62900","0.62900","1087870","否"
"6951","1号商城CPS","732204","购物客91jili","2015-02-02 10:04:46","2547324403447'","基本","31947909","1","69.00000","2015-04-14 11:10:31","1","69.00000","有效","正常","0.72450","0.72450","1087870","否"
"6951","1号商城CPS","732204","购物客91jili","2015-02-02 11:02:43","2545884693447'","基本","17192180","1","59.00000","2015-04-14 11:10:31","1","59.00000","有效","正常","0.61950","0.61950","1087870","否"
"6951","1号商城CPS","732204","购物客91jili","2015-02-02 13:54:57","2551878990411'","基本","7631644","1","31.06000","2015-04-14 11:10:31","1","31.06000","有效","正常","0.43480","0.43480","1064118","否"
"6951","1号商城CPS","732204","购物客91jili","2015-02-02 13:54:57","2551878990411'","基本","7668055","1","33.53000","2015-04-14 11:10:31","1","33.53000","有效","正常","0.46940","0.46940","1064118","否"
"6951","1号商城CPS","732204","购物客91jili","2015-02-02 13:54:57","2551878990411'","基本","7541661","1","60.58000","2015-04-14 11:10:31","1","60.58000","有效","正常","0.84810","0.84810","1064118","否"
"6951","1号商城CPS","732204","购物客91jili","2015-02-02 13:54:57","2551878990411'","基本","7630537","1","31.03000","2015-04-14 11:10:31","1","31.03000","有效","正常","0.43440","0.43440","1064118","否"
"254","京东CPS","732204","购物客91jili","2015-02-02 15:35:09","8317860849'","16","","1","238.00000","2015-03-27 14:19:34","1","237.50000","有效","正常","2.85600","2.85000","1146786","否"
"4459","苏宁易购CPS","732204","购物客91jili","2015-02-02 16:13:12","3013011380'","基本","3071733388","1","49.00000","2015-04-10 15:30:48","0","0.00000","无效","正常","0.00000","0.0000","1090061","否"
"4459","苏宁易购CPS","732204","购物客91jili","2015-02-02 16:41:20","3013068683'","基本","3071733394","1","19.60000","2015-04-10 15:30:48","0","0.00000","无效","正常","0.00000","0.0000","1090061","否"
"4459","苏宁易购CPS","732204","购物客91jili","2015-02-02 16:41:20","3013068683'","基本","3071733395","1","143.20000","2015-04-10 15:30:48","0","0.00000","无效","正常","4.00000","0.0000","1090061","否"
"4459","苏宁易购CPS","732204","购物客91jili","2015-02-02 16:41:20","3013068683'","基本","3071733396","1","29.20000","2015-04-10 15:30:48","0","0.00000","无效","正常","0.00000","0.0000","1090061","否"
"254","京东CPS","732204","购物客91jili","2015-02-02 17:07:53","8318554165'","24","","1","108.00000","2015-03-27 14:19:34","1","108.00000","有效","正常","0.97200","0.97200","1057989","否"
"254","京东CPS","732204","购物客91jili","2015-02-02 19:18:07","8319412469'","0","","1","115.80000","","0","0.00000","未确认","正常","0.00000","0.0000","1107716","否"
"254","京东CPS","732204","购物客91jili","2015-02-02 19:18:07","8318426475'","0","","1","66.00000","","0","0.00000","未确认","正常","0.00000","0.0000","1107716","否"
"254","京东CPS","732204","购物客91jili","2015-02-02 19:18:07","8318426471'","0","","1","181.80000","","0","0.00000","未确认","正常","3.00000","0.0000","1107716","否"
"247","当当CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045426'","食品--$--钻石会员","","1","84.10000","","0","0.00000","未确认","正常","0.00000","0.0000","1111089","否"
"247","当当CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品--$--钻石会员","","1","651.30000","","0","0.00000","未确认","正常","0.00000","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品","1003707308","1","157.15000","","1","157.15000","未确认","正常","4.71450","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品","1003490808","1","98.26000","","1","98.26000","未确认","正常","3.68470","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品","1003489608","1","39.28000","","1","39.28000","未确认","正常","1.62030","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品","1316845000","1","37.22000","","1","37.22000","未确认","正常","1.53530","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品","1003268408","1","98.26000","","1","98.26000","未确认","正常","4.05320","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品","1003489508","1","36.34000","","1","36.34000","未确认","正常","1.49900","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品","1003496508","1","112.06000","","1","112.06000","未确认","正常","4.20220","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品","1008460608","1","39.19000","","1","39.19000","未确认","正常","1.17570","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045446'","食品","1008809008","1","23.54000","","1","23.54000","未确认","正常","0.97100","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045426'","食品","60198577","1","46.90000","","1","46.90000","未确认","正常","1.40700","0.0000","1111089","否"
"17307","当当高佣金CPS","732204","购物客91jili","2015-02-02 19:29:56","11750045426'","食品","60589159","1","37.20000","","1","37.20000","未确认","正常","1.11600","0.0000","1111089","否"
"254","京东CPS","732204","购物客91jili","2015-02-02 20:04:02","8318809618'","24","","1","55.80000","2015-03-27 14:19:34","1","55.80000","有效","正常","0.50220","0.50220","1107716","否"
"254","京东CPS","732204","购物客91jili","2015-02-02 20:32:08","8319957665'","0","","1","1596.00000","2015-03-27 17:05:49","1","1591.30000","有效","正常","8.40000","8.40000","1061810","否"
"5402","美团网CPS","732204","购物客91jili","2015-02-03 09:17:12","975919761-1'","O","24975453","1","9.90000","2015-03-26 16:40:50","1","9.90000","有效","正常","0.11880","0.00000","1147880","否"
"4018","唯品会CPS","732204","购物客91jili","2015-02-03 10:40:02","15020313797842'","0.0","6909822103729","1","88.97000","2015-04-03 14:27:36","1","88.97000","有效","正常","0.00000","0.00000","1142249","否"
"4018","唯品会CPS","732204","购物客91jili","2015-02-03 10:40:02","15020313797842'","0.0","6953711891518","2","54.18000","2015-04-03 14:27:36","1","54.18000","有效","正常","0.00000","0.00000","1142249","否"
"4018","唯品会CPS","732204","购物客91jili","2015-02-03 10:40:02","15020313797842'","0.0","6909822107086","1","99.68000","2015-04-03 14:27:36","1","99.68000","有效","正常","0.00000","0.00000","1142249","否"
"4018","唯品会CPS","732204","购物客91jili","2015-02-03 10:40:02","15020313797842'","0.0","6942700234498","2","54.18000","2015-04-03 14:27:36","1","54.18000","有效","正常","0.00000","0.00000","1142249","否"
"139","1号店CPS","732204","购物客91jili","2015-02-03 11:39:13","2566274333512'","基本","21366229","1","29.90000","2015-04-14 11:34:35","1","29.90000","有效","正常","0.31390","0.31390","1056946","否"
"139","1号店CPS","732204","购物客91jili","2015-02-03 11:39:13","2566274333512'","基本","33974205","1","85.90000","2015-04-14 11:34:35","1","85.90000","有效","正常","0.90190","0.90190","1056946","否"
"139","1号店CPS","732204","购物客91jili","2015-02-03 11:39:13","2566274333512'","基本","984445","1","29.80000","2015-04-14 11:34:35","1","29.80000","有效","正常","0.31290","0.31290","1056946","否"
"139","1号店CPS","732204","购物客91jili","2015-02-03 11:39:13","2566274333512'","基本","4177547","1","39.00000","2015-04-14 11:34:35","1","39.00000","有效","正常","0.40950","0.40950","1056946","否"
"4459","苏宁易购CPS","732204","购物客91jili","2015-02-03 12:40:31","3013090084'","基本","3071780660","1","71.60000","2015-04-10 15:30:48","0","0.00000","无效","正常","0.00000","0.0000","1090061","否"
"4459","苏宁易购CPS","732204","购物客91jili","2015-02-03 12:40:31","3013090084'","基本","3071780671","1","238.80000","2015-04-10 15:30:48","0","0.00000","无效","正常","4.00000","0.0000","1090061","否"
"4459","苏宁易购CPS","732204","购物客91jili","2015-02-03 12:40:59","10014554686'","基本","10073191167","1","139.00000","2015-04-03 09:45:30","1","35.13000","有效","正常","4.00000","0.49180","1059239","否"
"139","1号店CPS","732204","购物客91jili","2015-02-03 16:26:44","2571248888116'","基本","17363230","1","105.80000","2015-04-14 11:34:35","1","105.80000","有效","正常","1.11090","1.11090","1068860","否"
"139","1号店CPS","732204","购物客91jili","2015-02-03 16:26:44","2571248888116'","基本","50571","1","178.00000","2015-04-14 11:34:35","1","178.00000","有效","正常","1.86900","1.86900","1068860","否"
"139","1号店CPS","732204","购物客91jili","2015-02-03 16:26:44","2571248888116'","基本","8599","1","176.00000","2015-04-14 11:34:35","1","176.00000","有效","正常","1.84800","1.84800","1068860","否"
"139","1号店CPS","732204","购物客91jili","2015-02-03 18:15:19","2572965307075'","基本","50571","1","89.00000","","1","89.00000","未确认","正常","0.93450","0.0000","1051021","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 07:43:55","8334476443'","0","","1","119.00000","","0","0.00000","未确认","正常","0.00000","0.0000","1107982","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 08:05:08","8335568041'","0","","1","115.60000","","0","0.00000","未确认","正常","0.00000","0.0000","1072747","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 08:08:46","8334603015'","0","","1","99.60000","","0","0.00000","未确认","正常","0.00000","0.0000","1072747","否"
"247","当当CPS","732204","购物客91jili","2015-02-04 09:25:39","11762573260'","童书--$--钻石会员","","1","201.40000","","0","0.00000","未确认","正常","4.02800","0.0000","1065068","否"
"247","当当CPS","732204","购物客91jili","2015-02-04 09:28:39","11762591740'","童书--$--钻石会员","","1","201.20000","","0","0.00000","未确认","正常","4.02400","0.0000","1065068","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 10:00:06","8335445283'","24","","1","315.00000","2015-03-27 14:19:34","1","315.00000","有效","正常","2.83500","2.83500","1051036","否"
"247","当当CPS","732204","购物客91jili","2015-02-04 10:23:45","11762987560'","童书--$--钻石会员","","1","201.80000","","0","0.00000","未确认","正常","4.03600","0.0000","1065068","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 10:31:03","8336613067'","9","","1","198.00000","","0","0.00000","未确认","正常","2.97000","0.0000","1089503","否"
"247","当当CPS","732204","购物客91jili","2015-02-04 10:39:18","11763119360'","童书--$--钻石会员","","1","200.80000","","0","0.00000","未确认","正常","4.01600","0.0000","1065068","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 10:55:56","8337148846'","0","","1","264.00000","","0","0.00000","未确认","正常","3.00000","0.0000","1089503","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 11:03:07","8338155749'","7","","1","406.00000","","0","0.00000","未确认","正常","8.52600","0.0000","1090061","否"
"249","红孩子CPS","732204","购物客91jili","2015-02-04 11:39:39","8013197124'","母婴","8073142091","1","474.00000","2015-04-03 09:49:03","1","402.21000","有效","正常","6.63600","5.63090","1082897","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 12:14:50","8339206184'","0","","1","217.50000","","0","0.00000","未确认","正常","3.00000","0.0000","1063252","否"
"5402","美团网CPS","732204","购物客91jili","2015-02-04 12:35:13","979032137-1'","O","26007365","1","490.00000","2015-03-26 16:40:50","1","490.00000","有效","正常","5.88000","0.00000","1088941","否"
"249","红孩子CPS","732204","购物客91jili","2015-02-04 12:40:58","8013197190'","母婴","8073142264","1","40.00000","2015-04-03 09:49:03","1","36.12000","有效","正常","0.56000","0.50570","1082897","否"
"4459","苏宁易购CPS","732204","购物客91jili","2015-02-04 12:40:58","8013197190'","基本","8073142265","1","63.00000","2015-04-03 09:45:30","1","56.88000","有效","正常","0.00000","0.00000","1082897","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 15:09:17","8341193909'","16","","1","2720.00000","2015-03-27 14:19:34","1","2653.66000","有效","正常","32.64000","31.84390","1166001","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 15:31:39","8340551878'","0","","1","59.00000","","0","0.00000","未确认","正常","0.00000","0.0000","1125962","否"
"297","携程旅行网CPS","732204","购物客91jili","2015-02-04 16:00:29","1219130362'","F","","1","1390.00000","2015-03-19 16:08:00","1","1280.00000","有效","正常","4.17000","3.84000","1051604","否"
"247","当当CPS","732204","购物客91jili","2015-02-04 17:58:48","11767096085'","出版物--$--钻石会员","","1","58.70000","","0","0.00000","未确认","正常","1.17400","0.0000","1119769","否"
"247","当当CPS","732204","购物客91jili","2015-02-04 20:25:59","11768014141'","出版物--$--银卡会员","","1","142.10000","","0","0.00000","未确认","正常","2.84200","0.0000","1052437","否"
"247","当当CPS","732204","购物客91jili","2015-02-04 20:49:46","11768241041'","出版物--$--银卡会员","","1","123.50000","","0","0.00000","未确认","正常","2.47000","0.0000","1052437","否"
"254","京东CPS","732204","购物客91jili","2015-02-04 21:54:21","8346654776'","3","","1","143.40000","","0","0.00000","未确认","正常","3.44160","0.0000","1056163","否"
