"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"254","京东CPS","732204","购物客91jili","2014-04-15 13:19:44","1312512205'","0","","1","168.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","2.20000","0.0000","1094007","否"
"139","1号店CPS","732204","购物客91jili","2014-04-15 13:29:45","140415MPE7C7'","8060","","1","41.90000","2014-06-27 14:33:37","0","0.00000","无效","正常","1.17320","0.0000","1057639","否"
"139","1号店CPS","732204","购物客91jili","2014-04-15 13:29:45","140415MPE7C7'","8050","","1","8.90000","2014-06-27 14:33:37","0","0.00000","无效","正常","0.18690","0.0000","1057639","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 13:55:33","1312513543'","0","","1","559.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","4.00000","0.0000","1094007","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 13:59:50","1312535834'","0","","1","1799.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","6.40000","0.0000","1094007","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 14:09:19","1312533756'","0","","1","2298.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","7.20000","0.0000","1094007","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 14:26:00","1312668741'","0","","1","1998.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","6.40000","0.0000","1094007","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 15:58:39","1312855002'","0","","1","559.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","4.00000","0.0000","105","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 16:23:40","1312920126'","0","","1","1799.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","6.40000","0.0000","105","否"
"4330","易迅cps","732204","购物客91jili","2014-04-15 16:50:07","1077382339'","T1","681656","1","1259.00000","2014-06-10 18:05:54","0","0.00000","无效","正常","2.64390","0.0000","105","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 18:14:44","1313172666'","0","","1","799.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","4.00000","0.0000","105","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 18:40:57","1313193052'","14","","1","49.00000","2014-05-30 13:27:24","1","81.66667","有效","正常","0.58800","0.98000","1050453","否"
"139","1号店CPS","732204","购物客91jili","2014-04-15 18:54:29","140415RPHTUM'","0000","","1","96.30000","2014-06-27 14:33:37","0","0.00000","无效","正常","0.00000","0.0000","1086318","否"
"6951","1号商城CPS","732204","购物客91jili","2014-04-15 18:55:26","140415FPHU37'","8060","","1","76.80000","2014-06-27 18:28:41","1","76.80000","有效","正常","1.61280","1.61280","107","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 21:16:54","1313552407'","10","","1","119.00000","2014-05-30 12:58:50","1","119.00000","有效","正常","0.95200","0.95200","1107122","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 21:33:44","1313606930'","0","","1","3999.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","8.80000","0.0000","1132883","否"
"247","当当CPS","732204","购物客91jili","2014-04-15 22:01:31","7810431600'","出版物","","1","49.00000","2014-06-19 15:37:34","1","49.00000","有效","正常","0.98000","0.98000","1057552","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 22:05:17","1313688695'","14","","1","1099.00000","2014-11-24 19:37:48","1","1099.00000","有效","正常","13.18800","13.18800","1113311","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 22:33:35","1313778962'","0","","1","7599.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","10.80000","0.0000","1132883","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 22:49:09","1313895409'","0","","1","1164.72000","2014-12-05 10:47:35","0","0.00000","无效","正常","6.00000","0.0000","1132883","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 22:49:09","1313895409'","14","","1","2233.28000","2014-12-05 10:47:35","0","0.00000","无效","正常","26.79940","0.0000","1132883","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 22:53:34","1313824195'","14","","1","109.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","1.30800","0.0000","1132883","否"
"254","京东CPS","732204","购物客91jili","2014-04-15 22:54:34","1313809596'","14","","1","129.00000","2014-12-05 10:47:35","0","0.00000","无效","正常","1.54800","0.0000","1132883","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-04-16 00:00:00","C02-0429305-1928065'","基本","B004SKMO9I","1","138.34000","2014-06-29 18:29:40","1","2.08000","有效","正常","1.45600","1.45600","1054254","否"
"6198","大众点评CPS","732204","购物客91jili","2014-04-16 00:00:00","241784181'","A","291826076","1","19.90000","2014-09-26 17:46:52","1","19.90000","有效","正常","0.69650","0.69650","1054605","否"
"6198","大众点评CPS","732204","购物客91jili","2014-04-16 00:00:00","241784181'","A","291826077","1","19.90000","2014-09-26 17:46:52","1","19.90000","有效","正常","0.69650","0.69650","1054605","否"
"247","当当CPS","732204","购物客91jili","2014-04-16 06:03:47","7811821869'","出版物","","1","14.40000","","0","0.00000","无效","正常","0.28800","0.0000","1102067","否"
"247","当当CPS","732204","购物客91jili","2014-04-16 06:15:25","7811827389'","出版物","","1","14.40000","","0","0.00000","无效","正常","0.28800","0.0000","1102067","否"
"247","当当CPS","732204","购物客91jili","2014-04-16 06:15:59","7811827629'","出版物","","1","14.40000","","0","0.00000","无效","正常","0.28800","0.0000","1102067","否"
"247","当当CPS","732204","购物客91jili","2014-04-16 06:29:42","7811834249'","出版物","","1","14.40000","2014-06-19 15:37:34","1","14.40000","有效","正常","0.28800","0.28800","1102067","否"
"254","京东CPS","732204","购物客91jili","2014-04-16 08:11:35","1314258049'","14","","1","399.00000","2014-12-05 10:50:41","0","0.00000","无效","正常","4.78800","0.0000","1132883","否"
"254","京东CPS","732204","购物客91jili","2014-04-16 08:12:40","1314259137'","14","","1","79.00000","2014-12-05 10:50:41","0","0.00000","无效","正常","0.94800","0.0000","1132883","否"
