"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-07-01 00:00:00","C02-1523432-2565634'","基本","B0041RQQVA","1","11.12000","2014-09-27 14:32:16","1","0.33000","有效","正常","0.23100","0.23100","1058036","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-07-01 00:00:00","C03-9938709-2328031'","基本","B00AFRPIJ6","1","64.40000","2014-09-27 14:32:16","1","1.93000","有效","正常","1.35100","1.35100","1132426","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-07-01 00:00:00","C02-1523432-2565634'","基本","B00HHOPX90","1","17.36000","2014-09-27 14:32:16","1","0.52000","有效","正常","0.36400","0.36400","1058036","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-07-01 00:00:00","C02-1523432-2565634'","基本","B00K4PZNCQ","1","29.21000","2014-09-27 14:32:16","1","0.88000","有效","正常","0.61600","0.61600","1058036","否"
"6198","大众点评CPS","732204","购物客91jili","2014-07-01 00:02:02","289053767'","A","","1","1.00000","2014-12-09 15:59:27","0","0.00000","无效","正常","0.02800","0.0000","1091628","否"
"6198","大众点评CPS","732204","购物客91jili","2014-07-01 00:02:02","289053767'","A","3753012","1","1.00000","2014-12-09 15:59:27","0","0.00000","无效","正常","0.03500","0.0000","1091628","否"
"6198","大众点评CPS","732204","购物客91jili","2014-07-01 00:02:02","289053767'","A","3753012","1","1.00000","2015-01-29 17:50:43","1","1.00000","有效","正常","0.03500","0.03500","1091628","否"
"139","1号店CPS","732204","购物客91jili","2014-07-01 10:37:03","140701BGRHKT'","8002","","1","113.60000","2014-09-30 16:55:54","1","113.60000","有效","正常","1.55630","1.55630","1112834","否"
"139","1号店CPS","732204","购物客91jili","2014-07-01 10:37:03","140701BGRHKT'","8060","","1","1.00000","2014-09-30 16:55:54","1","1.00000","有效","正常","0.03640","0.03640","1112834","否"
"254","京东CPS","732204","购物客91jili","2014-07-01 10:56:54","1606618240'","18","","1","117.00000","2014-08-29 20:54:04","1","117.00000","有效","正常","2.10600","2.10600","APIMemberId","否"
"254","京东CPS","732204","购物客91jili","2014-07-01 11:07:26","1606614495'","18","","1","324.00000","2014-08-29 17:54:27","1","294.00000","有效","正常","5.83200","5.29200","1112834","否"
"254","京东CPS","732204","购物客91jili","2014-07-01 11:17:06","1606644935'","22","","1","200.00000","2014-12-05 14:35:26","0","0.00000","无效","正常","0.00000","0.0000","1096963","否"
"254","京东CPS","732204","购物客91jili","2014-07-01 13:18:24","1606988319'","7","","1","308.00000","2014-08-29 16:52:40","1","308.00000","有效","正常","6.46800","6.46800","1104923","否"
"4018","唯品会CPS","732204","购物客91jili","2014-07-01 13:21:51","14070192459887'","3","26780737","1","79.00000","2014-08-30 11:03:59","1","79.00000","有效","正常","1.65900","1.65900","1084144","否"
"4018","唯品会CPS","732204","购物客91jili","2014-07-01 13:21:51","14070192459887'","3","6101076993372","1","59.00000","2014-08-30 11:03:59","1","59.00000","有效","正常","1.23900","1.23900","1084144","否"
"254","京东CPS","732204","购物客91jili","2014-07-01 16:25:35","1607622406'","3","","1","51.00000","2014-08-29 16:52:40","1","51.00000","有效","正常","1.22400","1.22400","1064710","否"
"6951","1号商城CPS","732204","购物客91jili","2014-07-01 17:07:59","140701UH1R24'","8090","","1","49.00000","2014-09-29 20:33:32","0","0.00000","无效","正常","0.68600","0.0000","1093278","否"
