"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-05-01 00:00:00","C02-5428081-2139048'","基本","B001JYN6WA","1","11.00000","2014-07-31 10:41:09","1","0.22000","有效","正常","0.15400","0.15400","1080304","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-05-01 00:00:00","C01-7111528-5523048'","基本","B001YQEXF2","1","4.80000","2014-07-31 10:41:09","1","0.07000","有效","正常","0.04900","0.04900","1088924","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-05-01 00:00:00","C01-7111528-5523048'","基本","B004TPHAUU","1","14.60000","2014-07-31 10:41:09","1","0.22000","有效","正常","0.15400","0.15400","1088924","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-05-01 00:00:00","C01-7111528-5523048'","基本","B0089JHNKY","1","6.78000","2014-07-31 10:41:09","1","0.10000","有效","正常","0.07000","0.07000","1088924","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-05-01 00:00:00","C02-7207710-8728612'","基本","B008HQRYRG","2","76.00000","2014-11-12 14:39:47","2","1.52000","无效","正常","1.06400","0.0000","1051407","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-05-01 00:00:00","C02-5542818-5559807'","基本","B00CFDJ78Q","1","69.00000","2014-07-31 10:41:09","1","4.14000","有效","正常","2.89800","2.89800","1092681","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-05-01 00:00:00","C02-5911747-9730204'","基本","B00D8WFMDC","1","170.30000","2014-07-31 10:41:09","1","7.66000","有效","正常","5.36200","5.36200","1058036","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-05-01 00:00:00","C02-5542818-5559807'","基本","B00H33OB3E","1","29.00000","2014-07-31 10:41:09","1","0.44000","有效","正常","0.30800","0.30800","1092681","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-05-01 00:00:00","C01-7111528-5523048'","基本","B00ISKN0K6","1","8.08000","2014-07-31 10:41:09","1","0.12000","有效","正常","0.08400","0.08400","1088924","否"
"6198","大众点评CPS","732204","购物客91jili","2014-05-01 00:00:32","250339093'","A","","1","2.00000","2014-10-09 13:49:38","0","0.00000","无效","正常","0.07000","0.0000","1091628","否"
"6198","大众点评CPS","732204","购物客91jili","2014-05-01 00:00:32","250339093'","A","301117886","1","1.00000","2014-06-30 17:06:25","1","1.00000","有效","正常","0.03500","0.03500","1091628","否"
"6198","大众点评CPS","732204","购物客91jili","2014-05-01 00:00:32","250339093'","A","301117885","1","1.00000","2014-06-30 17:06:25","1","1.00000","有效","正常","0.03500","0.03500","1091628","否"
"6198","大众点评CPS","732204","购物客91jili","2014-05-01 00:01:36","250339729'","A","","1","2.00000","2014-10-09 13:49:38","0","0.00000","无效","正常","0.07000","0.0000","1072991","否"
"6198","大众点评CPS","732204","购物客91jili","2014-05-01 00:01:36","250339729'","A","301118644","1","1.00000","2014-06-30 17:06:25","1","1.00000","有效","正常","0.03500","0.03500","1072991","否"
"6198","大众点评CPS","732204","购物客91jili","2014-05-01 00:01:36","250339729'","A","301118646","1","1.00000","2014-06-30 17:06:25","1","1.00000","有效","正常","0.03500","0.03500","1072991","否"
"249","红孩子CPS","732204","购物客91jili","2014-05-01 09:20:46","2007410261'","313004","2045110641","1","169.00000","2014-08-18 17:50:43","0","0.00000","无效","正常","2.36600","0.0000","1071047","否"
"5579","国美在线CPS","732204","购物客91jili","2014-05-01 10:26:19","4648711526'","生活电器 厨卫电器","8002315783","1","349.00000","2014-07-25 20:30:30","1","349.00000","有效","正常","4.88600","4.88600","1055407","否"
"254","京东CPS","732204","购物客91jili","2014-05-01 10:37:39","1387454753'","22","","1","17.50000","2014-10-25 11:41:20","0","0.00000","无效","正常","0.00000","0.0000","1122513","否"
"6198","大众点评CPS","732204","购物客91jili","2014-05-01 11:08:01","250501806'","A","","1","78.00000","2014-10-09 13:49:38","0","0.00000","无效","正常","2.73000","0.0000","1053545","否"
