"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C03-5184566-7801616'","基本","B00114C0UC","1","17.78000","2015-02-02 14:13:41","1","0.27000","无效","正常","0.18900","0.0000","1079199","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C03-5184566-7801616'","基本","B001AI5NUI","1","20.38000","2015-02-02 14:13:41","1","0.31000","无效","正常","0.21700","0.0000","1079199","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C03-5184566-7801616'","基本","B001GS73PU","1","21.43000","2015-02-02 14:13:41","1","0.32000","无效","正常","0.22400","0.0000","1079199","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C03-5184566-7801616'","基本","B00322P7R4","1","11.20000","2015-02-02 14:13:41","1","0.17000","无效","正常","0.11900","0.0000","1079199","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C03-5184566-7801616'","基本","B00B7DYREY","1","9.11000","2015-02-02 14:13:41","1","0.14000","无效","正常","0.09800","0.0000","1079199","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C01-6606119-4151263'","基本","B00BPK5T4Q","1","20.40000","2015-02-02 14:13:41","1","0.31000","无效","正常","0.21700","0.0000","1062497","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C03-5184566-7801616'","基本","B00D41HDPW","1","19.11000","2015-02-02 14:13:41","1","0.29000","无效","正常","0.20300","0.0000","1079199","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C02-0520424-5416046'","基本","B00EHA4MWG","1","69.90000","2015-01-31 16:09:21","1","69.90000","有效","正常","1.47000","1.47000","1055391","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C03-5184566-7801616'","基本","B00EFAM8C4","1","23.99000","2015-02-02 14:13:41","1","0.36000","无效","正常","0.25200","0.0000","1079199","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C03-9602506-7352608'","基本","B00H7UTWPU","1","12.90000","2015-01-31 16:09:21","1","12.90000","有效","正常","0.13300","0.13300","1082049","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C01-6606119-4151263'","基本","B00JWIVE42","1","21.60000","2015-01-31 16:09:21","1","21.60000","有效","正常","0.22400","0.22400","1062497","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C01-6606119-4151263'","基本","B00JXBJGLG","1","20.10000","2015-02-02 14:13:41","1","0.30000","无效","正常","0.21000","0.0000","1062497","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C01-6606119-4151263'","基本","B00JXBJMCO","1","20.85000","2015-02-02 14:13:41","1","0.31000","无效","正常","0.21700","0.0000","1062497","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C01-6606119-4151263'","基本","B00KA539S0","1","19.35000","2015-02-02 14:13:41","1","0.29000","无效","正常","0.20300","0.0000","1062497","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-09-01 00:00:00","C01-6606119-4151263'","基本","B00KFXY21K","1","20.85000","2015-02-02 14:13:41","1","0.31000","无效","正常","0.21700","0.0000","1062497","否"
"254","京东CPS","732204","购物客91jili","2014-09-01 07:16:46","1808290228'","0","","1","0.00000","2014-12-30 17:12:13","0","0.00000","无效","正常","0.00000","0.0000","1107716","否"
"5402","美团网CPS","732204","购物客91jili","2014-09-01 08:45:07","637835170-1'","O","23014074","1","99.00000","2014-10-29 13:39:32","1","99.00000","有效","正常","1.18800","1.18800","1086971","否"
"247","当当CPS","732204","购物客91jili","2014-09-01 09:42:38","9485972307'","出版物--$--银卡会员","","1","300.60000","2014-11-27 13:33:16","1","200.60000","有效","正常","6.01200","4.01200","1066381","否"
"254","京东CPS","732204","购物客91jili","2014-09-01 10:33:58","1808869358'","0","","1","2799.00000","2014-12-30 17:12:13","0","0.00000","无效","正常","9.60000","0.0000","1086971","否"
"254","京东CPS","732204","购物客91jili","2014-09-01 10:35:19","1808832617'","0","","1","2799.00000","2014-12-30 17:12:13","0","0.00000","无效","正常","9.60000","0.0000","1086971","否"
"254","京东CPS","732204","购物客91jili","2014-09-01 10:36:08","1808816763'","0","","1","2799.00000","2014-12-30 17:12:13","0","0.00000","无效","正常","9.60000","0.0000","1086971","否"
"254","京东CPS","732204","购物客91jili","2014-09-01 11:37:43","1809177761'","24","","1","84.00000","2014-12-12 14:17:26","1","84.00000","有效","正常","0.75600","0.75600","1107716","否"
