"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-08-01 00:00:00","C01-1255215-7247010'","基本","B003L21VX4","5","67.00000","2015-01-26 09:59:56","5","2.00000","无效","正常","1.40000","0.0000","1071599","否"
"5227","聚美优品CPS","732204","购物客91jili","2014-08-01 10:03:36","139927219'","0","780908","1","299.00000","2014-10-16 17:16:51","1","299.00000","有效","正常","14.35200","14.35200","1146844","否"
"4018","唯品会CPS","732204","购物客91jili","2014-08-01 10:32:42","14080132245149'","3","SCKC101ED165","1","110.00000","2014-11-29 21:11:21","0","0.00000","无效","正常","3.08000","0.0000","1098875","否"
"4018","唯品会CPS","732204","购物客91jili","2014-08-01 10:52:26","14080132544549'","3","SCKC101ED165","1","110.00000","2014-09-30 19:55:23","1","110.00000","有效","正常","3.08000","2.31000","1098875","否"
"5227","聚美优品CPS","732204","购物客91jili","2014-08-01 11:06:30","140068122'","5","4674","1","39.90000","2014-10-16 17:16:51","1","142.90000","有效","正常","1.19700","4.28700","1146844","否"
"5227","聚美优品CPS","732204","购物客91jili","2014-08-01 11:06:30","140068122'","5","23882","1","168.00000","2014-11-03 16:01:08","0","0.00000","无效","正常","5.04000","0.0000","1146844","否"
"254","京东CPS","732204","购物客91jili","2014-08-01 15:04:38","1712714057'","0","","1","2018.00000","2014-12-26 13:50:38","0","0.00000","无效","正常","9.60000","0.0000","1096963","否"
"6198","大众点评CPS","732204","购物客91jili","2014-08-01 15:30:03","311725016'","A","","1","1.00000","2015-02-05 10:58:27","0","0.00000","无效","正常","0.02800","0.0000","1091628","否"
"6198","大众点评CPS","732204","购物客91jili","2014-08-01 15:30:03","311725016'","A","7083593","1","1.00000","2015-02-05 10:58:27","0","0.00000","无效","正常","0.03500","0.0000","1091628","否"
"247","当当CPS","732204","购物客91jili","2014-08-01 16:22:59","9336420227'","出版物","","1","58.50000","2014-10-27 16:52:39","1","58.50000","有效","正常","1.17000","1.17000","1109750","否"
"6951","1号商城CPS","732204","购物客91jili","2014-08-01 16:33:10","412717217286'","8070","","1","495.00000","2014-10-31 15:50:46","0","0.00000","无效","正常","10.39500","0.0000","1199528","否"
"249","红孩子CPS","732204","购物客91jili","2014-08-01 16:41:14","4008601392'","14656","4050103234","1","20.40000","2014-10-31 16:14:45","0","0.00000","无效","正常","0.28560","0.0000","1093019","否"
"249","红孩子CPS","732204","购物客91jili","2014-08-01 16:41:14","4008601392'","14656","4050103235","1","22.70000","2014-10-31 16:14:45","0","0.00000","无效","正常","0.31780","0.0000","1093019","否"
"249","红孩子CPS","732204","购物客91jili","2014-08-01 16:41:14","4008601392'","14656","4050103236","1","17.00000","2014-10-31 16:14:45","0","0.00000","无效","正常","0.23800","0.0000","1093019","否"
"249","红孩子CPS","732204","购物客91jili","2014-08-01 16:41:14","4008601392'","14656","4050103232","1","77.90000","2014-10-31 16:14:45","0","0.00000","无效","正常","1.09060","0.0000","1093019","否"
"249","红孩子CPS","732204","购物客91jili","2014-08-01 16:41:14","4008601392'","14656","4050103233","1","28.90000","2014-10-31 16:14:45","0","0.00000","无效","正常","0.40460","0.0000","1093019","否"
"249","红孩子CPS","732204","购物客91jili","2014-08-01 16:41:14","4008601392'","14656","4050103237","1","17.00000","2014-10-31 16:14:45","0","0.00000","无效","正常","0.23800","0.0000","1093019","否"
"249","红孩子CPS","732204","购物客91jili","2014-08-01 16:41:14","4008601392'","14656","4050103244","1","25.50000","2014-10-31 16:14:45","0","0.00000","无效","正常","0.35700","0.0000","1093019","否"
"247","当当CPS","732204","购物客91jili","2014-08-01 16:44:21","9336545485'","家电--$--金卡会员","","1","459.00000","2014-12-10 14:21:39","0","0.00000","无效","正常","0.00000","0.0000","1133595","否"
