"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"247","当当CPS","732204","购物客91jili","2014-12-01 00:55:35","11341892487'","服装--$--金卡会员","","1","74.00000","2015-03-26 14:10:09","0","0.00000","无效","正常","0.00000","0.0000","1131893","否"
"17307","当当高佣金CPS","732204","购物客91jili","2014-12-01 00:55:35","11341892487'","服装","1115659027","1","35.00000","2015-02-25 11:21:05","1","74.00000","有效","正常","2.10000","4.44000","1131893","否"
"17307","当当高佣金CPS","732204","购物客91jili","2014-12-01 00:55:35","11341892487'","服装","1115661427","1","39.00000","2015-03-26 14:11:00","1","39.00000","无效","正常","2.34000","0.0000","1131893","否"
"5402","美团网CPS","732204","购物客91jili","2014-12-01 07:15:18","817929530-1'","O","1280370","1","99.00000","2015-03-26 16:41:55","0","0.00000","无效","正常","1.18800","0.0000","1101293","否"
"5402","美团网CPS","732204","购物客91jili","2014-12-01 07:19:54","817930105-12'","O","8567598","1","2.20000","2015-03-26 16:41:55","0","0.00000","无效","正常","0.02640","0.0000","1101293","否"
"5402","美团网CPS","732204","购物客91jili","2014-12-01 07:19:54","817930105-1'","O","8567598","1","2.20000","2015-03-26 16:41:55","0","0.00000","无效","正常","0.02640","0.0000","1101293","否"
"5402","美团网CPS","732204","购物客91jili","2014-12-01 07:19:54","817930105-2'","O","8567598","1","2.20000","2015-03-26 16:41:55","0","0.00000","无效","正常","0.02640","0.0000","1101293","否"
"5402","美团网CPS","732204","购物客91jili","2014-12-01 07:19:54","817930105-3'","O","8567598","1","2.20000","2015-03-26 16:41:55","0","0.00000","无效","正常","0.02640","0.0000","1101293","否"
"5402","美团网CPS","732204","购物客91jili","2014-12-01 07:19:54","817930105-4'","O","8567598","1","2.20000","2015-03-26 16:41:55","0","0.00000","无效","正常","0.02640","0.0000","1101293","否"
"5402","美团网CPS","732204","购物客91jili","2014-12-01 07:19:54","817930105-5'","O","8567598","1","2.20000","2015-03-26 16:41:55","0","0.00000","无效","正常","0.02640","0.0000","1101293","否"
