"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"6226","百度糯米CPS","732204","购物客91jili","2014-10-02 21:13:35","521255553_1'","O","3uy4vbbc","1","28.00000","2014-11-29 13:26:10","1","28.00000","有效","正常","0.98000","0.98000","1052491","否"
"254","京东CPS","732204","购物客91jili","2014-10-02 22:18:54","1928124089'","8","","1","258.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","4.64400","0.0000","1050394","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-02 22:23:40","368199059'","A","","1","55.90000","","0","0.00000","未确认","正常","1.95650","0.0000","1084800","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-02 22:23:40","368199059'","A","11799668","1","55.90000","2014-11-29 16:12:02","1","55.90000","有效","正常","1.95650","1.95650","1084800","否"
"254","京东CPS","732204","购物客91jili","2014-10-02 22:29:30","1928215220'","8","","1","258.00000","2014-11-28 21:36:29","1","258.00000","有效","正常","4.64400","4.64400","1050394","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-03 00:00:00","C03-6120944-1068664'","基本","B002QJVMF0","1","119.00000","2015-02-03 10:58:02","1","78.00000","有效","正常","0.59500","0.59500","1058036","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-03 00:00:00","C01-1446960-0045618'","基本","B003H06HPM","1","25.19000","2015-02-03 14:19:50","1","25.19000","无效","正常","0.25000","0.0000","APIMemberId","否"
"254","京东CPS","732204","购物客91jili","2014-10-03 09:21:26","1928705886'","22","","1","388.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1112382","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-03 12:05:10","368701043'","A","","1","244.00000","","0","0.00000","未确认","正常","8.54000","0.0000","1247147","否"
"4459","苏宁易购CPS","732204","购物客91jili","2014-10-03 13:40:22","10010002679'","基本","10056462363","1","1799.00000","2015-01-04 16:25:30","0","0.00000","无效","正常","12.00000","0.0000","1060310","否"
"254","京东CPS","732204","购物客91jili","2014-10-03 18:07:33","1930107946'","18","","1","286.00000","2014-11-28 17:26:40","1","286.00000","有效","正常","5.14800","5.14800","1118609","否"
"254","京东CPS","732204","购物客91jili","2014-10-03 18:57:59","1930152431'","18","","1","130.00000","2014-11-28 17:26:40","1","123.33333","有效","正常","2.34000","2.22000","1118609","否"
"249","红孩子CPS","732204","购物客91jili","2014-10-03 20:14:12","8010091549'","母婴","8057716340","1","210.00000","2015-01-12 15:29:15","0","0.00000","无效","正常","2.94000","0.0000","1082897","否"
"249","红孩子CPS","732204","购物客91jili","2014-10-03 20:14:12","8010091549'","母婴","8057716341","1","68.80000","2015-01-12 15:29:15","0","0.00000","无效","正常","0.96320","0.0000","1082897","否"
"249","红孩子CPS","732204","购物客91jili","2014-10-03 20:14:12","8010091549'","母婴","8057716342","1","158.00000","2015-01-12 15:29:15","0","0.00000","无效","正常","2.21200","0.0000","1082897","否"
"254","京东CPS","732204","购物客91jili","2014-10-03 22:01:10","1930790016'","0","","1","108.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1190419","否"
"254","京东CPS","732204","购物客91jili","2014-10-03 22:34:09","1930816530'","9","","1","178.00000","2014-11-28 21:36:29","1","178.00000","有效","正常","2.67000","2.67000","1190419","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-03 22:45:39","369493031'","A","","1","108.00000","","0","0.00000","未确认","正常","3.78000","0.0000","1126842","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-03 22:45:39","369493031'","A","11866648","1","108.00000","2014-11-29 16:12:02","1","108.00000","有效","正常","3.78000","3.78000","1126842","否"
"254","京东CPS","732204","购物客91jili","2014-10-03 22:58:53","1930813959'","0","","1","59.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1055988","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-04 09:38:56","699192035-1'","O","1459615","1","288.00000","2014-11-29 10:37:43","1","288.00000","有效","正常","3.45600","3.45600","1049776","否"
"249","红孩子CPS","732204","购物客91jili","2014-10-04 17:41:38","8010068272'","母婴","8057756743","1","238.00000","2015-01-12 15:29:15","0","0.00000","无效","正常","3.33200","0.0000","1082897","否"
"249","红孩子CPS","732204","购物客91jili","2014-10-04 17:41:38","8010068272'","母婴","8057756741","1","68.80000","2014-11-26 15:50:56","1","68.80000","有效","正常","0.96320","0.96320","1082897","否"
"249","红孩子CPS","732204","购物客91jili","2014-10-04 17:41:38","8010068272'","母婴","8057756742","1","210.00000","2015-01-12 15:29:15","0","0.00000","无效","正常","2.94000","0.0000","1082897","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-05 00:00:00","C01-2118221-7408040'","基本","B003NNUJ5C","1","18.39000","2015-02-03 10:58:02","1","35.90000","有效","正常","0.27500","0.27500","1057794","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-05 00:00:00","C01-2118221-7408040'","基本","B004YGQPOQ","4","32.68000","2015-02-03 14:19:50","4","32.68000","无效","正常","0.50000","0.0000","1057794","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-05 00:00:00","C01-7479910-3579801'","基本","B00I4IYKCY","2","158.16000","2015-02-03 14:19:50","2","158.16000","无效","正常","1.58000","0.0000","APIMemberId","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-05 00:00:00","C03-1013150-9995037'","基本","B00ICCYG2Q","1","21.80000","2015-02-03 10:58:02","1","21.00000","有效","正常","0.16500","0.16500","1124158","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-05 00:00:00","C01-2118221-7408040'","基本","B00JRUYNZM","8","80.24000","2015-02-03 14:19:50","8","80.24000","无效","正常","1.20000","0.0000","1057794","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-05 00:00:00","C03-7295421-5740602'","基本","B00KT4Q5JC","1","23.00000","2015-02-03 10:58:02","1","22.68000","有效","正常","0.17500","0.17500","1124158","否"
