"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"5402","美团网CPS","732204","购物客91jili","2014-11-01 00:26:30","753671656-1'","O","26275554","1","128.00000","2014-12-30 18:52:06","1","128.00000","有效","正常","1.53600","1.53600","1052491","否"
"139","1号店CPS","732204","购物客91jili","2014-11-01 11:14:24","1377507644512'","基本","24886016","1","0.04000","2015-01-29 11:31:58","1","0.04000","有效","正常","0.02800","0.02800","1056946","否"
"139","1号店CPS","732204","购物客91jili","2014-11-01 11:14:25","1377507644512'","基本","32994726","1","38.70000","2015-01-29 11:31:58","1","1.54800","有效","正常","1.08360","1.08360","1056946","否"
"139","1号店CPS","732204","购物客91jili","2014-11-01 11:14:25","1377507644512'","基本","34088812","1","1.00000","2015-01-30 10:30:30","1","1.00000","无效","正常","0.02800","0.0000","1056946","否"
"139","1号店CPS","732204","购物客91jili","2014-11-01 11:14:25","1377507644512'","基本","1070329","1","85.80000","2015-01-29 11:31:58","1","3.43200","有效","正常","2.40240","2.40240","1056946","否"
"139","1号店CPS","732204","购物客91jili","2014-11-01 11:14:25","1377507644512'","基本","21031180","1","37.90000","2015-01-29 11:31:58","1","1.51600","有效","正常","1.06120","1.06120","1056946","否"
"139","1号店CPS","732204","购物客91jili","2014-11-01 11:14:25","1377507644512'","基本","8566","1","35.70000","2015-01-29 11:31:58","1","0.53550","有效","正常","0.37480","0.37480","1056946","否"
"4501","母婴之家CPS","732204","购物客91jili","2014-11-01 12:26:09","8045751'","8","108248","1","139.00000","2014-12-30 14:20:43","1","138.80000","有效","正常","4.17000","4.16400","1083678","否"
"4501","母婴之家CPS","732204","购物客91jili","2014-11-01 12:26:09","8045751'","1","99584","1","6.00000","2014-12-30 14:20:43","1","5.90000","有效","正常","0.30000","0.29500","1083678","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:19:57","BJ14110121314405'","0","548113","1","294.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","11.76000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:21:58","BJ14110121314677'","0","548113","1","294.00000","2015-01-22 10:28:43","1","294.00000","有效","正常","11.76000","5.88000","1158659","否"
"254","京东CPS","732204","购物客91jili","2014-11-01 21:44:59","4537269257'","0","","1","202.80000","2015-03-03 18:51:17","0","0.00000","无效","正常","3.00000","0.0000","1049265","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","6200","530289","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","6200","553301","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","6200","572650","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","6900","553343","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","7100","59456","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","206121","533912","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","206121","533881","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","7100","502058","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","6060","558396","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
"4102","中粮我买网CPS","732204","购物客91jili","2014-11-01 21:57:37","GZ14110121315935'","66102","563656","1","0.00000","2015-01-30 10:21:43","0","0.00000","无效","正常","0.00000","0.0000","1158659","否"
